address,score
bc1qhq9tpreeawtu8m66c3r4j2qlavfylqt6679vlz,6.25
bc1qyv27a223cs9jz5q22hp87ktva7ems26stjutx5,6.25
bc1qf7300hdm5wgypkr8zh2gsas89ldu5yr795tjr9,6.25
bc1q538sktyl59y0r78c3lpsskp3nhdnsksmfzhvsr,6.25
bc1qx9ms8t3suyly926rcgqq2cu8sndrjgv7f92ljm,6.25
bc1qjwz80dwgjc6jxgjxw2j0w3w74tz57kntfd6zee,6.25
bc1q3mmjcsyleww3v9yjfxw3crhp0xx7xpvapkmecl,6.25
bc1qlh6hvj44tfy2v562738wjgva4hdfxwkvrlkvam,6.25
bc1qexntz8a2x8wvtt7qsuxlfsd80lcx5rgp5644vw,6.25
bc1qcdduwfqem9u3zs05lldcne68e5tqcmgskspswa,6.25
bc1qjzs2wm7lmfujet9a9avrrd7pfxhrd9rjwnvk4g,6.25
bc1qa6fuky9vaze9tc6m8v60kzc6yxkzkky6p3ev0q,6.25
bc1q25k78z7efpmzd8qdyvhgmq62zry5z7r6lyy0cl,6.25
1B9f2BEGtFpiBSfaeDqgwLP78fA2rvtK5t,3.125
1B7g6S44dPLEZw2W2AbjfJyAwDwr6kWkni,1.5625
bc1qetg2w06thy9lamhuu2ey2maelpk02f5ygn9k26,0.78125
bc1q6653rspcu2jth3hqsu6q2klkw89r9f7cs5zh8j,0.390625
bc1qkxp5c246ere0lwsa0wufmg27lmtag9qnd6d8dq,0.1953125
bc1qy60kkkyz83kzuyl40qqfeyws2vawamfh9vf3kn,0.09765625
bc1qxehgksa354j5hm3ghmk53m23hvrcj0uyhkct6z,0.048828125
bc1qhxlxgvc7au6yng8v38yy2sa2g9ca9h48kskmhz,0.0244140625
bc1q9ypf7tqv5m027tj8glgrhu5u7uzy5qyhpjc3g6,0.01220703125
bc1qmdnp2729af6jj3q2m205nt5wp00txfas5v9ag4,0.006103515625
bc1qw4jcx7cev3v7ek3shdrh5gzt6d0cd4n8vfet0q,0.0030517578125
